 date value 
 2023-04-05 0.004017801 
 2023-04-06 0.0003278901 
 2023-04-07 1.904122e-07 
 2023-04-08        0 
 2023-04-09 0.002002314 
 2023-04-10 0.004322697 
 2023-04-11 0.009502916 
 2023-04-12 0.006594474 
 2023-04-13 0.001015943 
 2023-04-14 0.008289685 
 2023-04-15 3.81388e-07 
 2023-04-16 0.0002983099 
 2023-04-17 8.734573e-05 
 2023-04-18 0.0003541701 
 2023-04-19 0.00172288 
 2023-04-20        0 
 2023-04-21 0.0004111284 
 2023-04-22 0.004018299 
 2023-04-23 0.002768699 
 2023-04-24 0.005691423 
 2023-04-25        0 
 2023-04-26 0.0002822467 
 2023-04-27 0.005348177 
 2023-04-28 0.0001085998 
 2023-04-29 0.000445512 
 2023-04-30 0.004077592 
 2023-05-01 0.0001126959 
 2023-05-02 0.0003339126 
 2023-05-03 1.53609e-06 
 2023-05-04 0.003064295 
 2023-05-05 0.003555777 
 2023-05-06 0.006224278 
 2023-05-07 1.344197e-05 
 2023-05-08 0.01218147 
 2023-05-09 0.007298568 
 2023-05-10 0.00137013 
 2023-05-11 0.003932355 
 2023-05-12 0.0003425037 
 2023-05-13 1.049689e-05 
 2023-05-14 0.0003255653 
 2023-05-15 1.693934e-05 
 2023-05-16 2.650208e-05 
 2023-05-17 9.535658e-05 
 2023-05-18 2.562214e-05 
 2023-05-19 0.0008216606 
 2023-05-20 9.515752e-07 
 2023-05-21        0 
 2023-05-22        0 
 2023-05-23 0.0004588202 
 2023-05-24 2.858614e-07 
 2023-05-25 9.394325e-05 
 2023-05-26        0 
 2023-05-27        0 
 2023-05-28 1.33409e-06 
 2023-05-29        0 
 2023-05-30 5.533246e-06 
 2023-05-31 0.0001152272 
 2023-06-01 3.852764e-07 
 2023-06-02 6.701657e-07 
 2023-06-03 2.897499e-07 
 2023-06-04        0 
 2023-06-05 3.81874e-07 
 2023-06-06        0 
 2023-06-07 1.94422e-09 
 2023-06-08 3.88844e-09 
 2023-06-09 6.24817e-05 
 2023-06-10 0.004313818 
 2023-06-11 0.0007444451 
 2023-06-12 0.001321236 
 2023-06-13 7.681226e-07 
 2023-06-14        0 
 2023-06-15        0 
 2023-06-16 0.0018447 
 2023-06-17 0.002857775 
 2023-06-18 0.002835881 
 2023-06-19 0.0007941803 
 2023-06-20 0.01617114 
 2023-06-21 0.001443731 
 2023-06-22 3.42763e-05 
 2023-06-23 1.516634e-05 
 2023-06-24 9.430999e-05 
 2023-06-25 0.0002482456 
 2023-06-26 0.0005640647 
 2023-06-27 0.0006535003 
 2023-06-28 0.001870759 
 2023-06-29 0.0002448208 
 2023-06-30 0.003339511 
 2023-07-01 0.0001354647 
 2023-07-02 3.880319e-05 
 2023-07-03 0.0006259242 
 2023-07-04 0.01290047 
 2023-07-05 0.00132161 
 2023-07-06 8.30629e-05 
 2023-07-07 1.695567e-05 
 2023-07-08 0.001199168 
 2023-07-09 0.003573977 
 2023-07-10 0.01144233 
 2023-07-11 0.001377778 
 2023-07-12 0.002442012 
 2023-07-13 0.001085077 
 2023-07-14 0.01429951 
 2023-07-15 0.006702275 
 2023-07-16 0.004268582 
 2023-07-17 0.001085667 
 2023-07-18 0.0007781117 
 2023-07-19 0.0004791639 
 2023-07-20 0.0009394471 
 2023-07-21 0.0006516918 
 2023-07-22 0.008144679 
 2023-07-23 0.001299659 
 2023-07-24 0.003330533 
 2023-07-25 0.0007311972 
 2023-07-26 0.005467696 
 2023-07-27 0.001860982 
 2023-07-28 0.001076905 
 2023-07-29 0.0004937634 
 2023-07-30 0.001158521 
 2023-07-31 0.003139238 
 2023-08-01 0.007947661 
 2023-08-02 0.005671714 
 2023-08-03 0.001833355 
 2023-08-04 3.832064e-05 
 2023-08-05 0.002493295 
 2023-08-06 0.0003361666 
 2023-08-07 0.0003223236 
 2023-08-08 0.0006733029 
 2023-08-09 0.0001743545 
 2023-08-10 3.884621e-05 
 2023-08-11 0.0001954878 
 2023-08-12 0.001609209 
 2023-08-13 0.0007147503 
 2023-08-14 0.008305635 
 2023-08-15 0.001137443 
 2023-08-16 0.0003327576 
 2023-08-17 0.0006535366 
 2023-08-18 0.004285529 
 2023-08-19 0.0005211916 
 2023-08-20 0.0007233011 
 2023-08-21 0.0003062289 
 2023-08-22 3.108244e-05 
 2023-08-23 0.0002066017 
 2023-08-24 0.00176344 
 2023-08-25 0.004129924 
 2023-08-26 0.001115042 
 2023-08-27 0.001239163 
 2023-08-28 0.000228613 
 2023-08-29 0.0005801591 
 2023-08-30 0.0003557337 
 2023-08-31 0.01066735 
 2023-09-01 0.0006018572 
 2023-09-02 0.0007043952 
 2023-09-03 4.193732e-06 
 2023-09-04        0 
 2023-09-05 5.527104e-05 
 2023-09-06        0 
 2023-09-07 3.818271e-05 
 2023-09-08 0.0009909028 
 2023-09-09 5.637918e-05 
 2023-09-10 0.01442863 
 2023-09-11 0.0008455907 
 2023-09-12 0.0009499895 
 2023-09-13 3.153822e-05 
 2023-09-14 0.0001810816 
 2023-09-15 4.472119e-05 
 2023-09-16 0.01073725 
 2023-09-17 0.01071129 
 2023-09-18 0.000526466 
 2023-09-19 0.002508548 
 2023-09-20 0.008771123 
 2023-09-21 0.00461679 
 2023-09-22 0.001069152 
 2023-09-23 0.0009711275 
 2023-09-24 0.005115191 
 2023-09-25 4.346395e-05 
 2023-09-26 0.001793484 
 2023-09-27 0.001441308 
 2023-09-28 0.006433433 
 2023-09-29 9.701006e-05 
 2023-09-30 0.0002810307 
 2023-10-01 0.0003121829 
 2023-10-02 0.01076944 
 2023-10-03 0.0004503273 
 2023-10-04 8.948371e-05 
 2023-10-05 3.432977e-06 
 2023-10-06 1.098633e-05 
 2023-10-07 6.866851e-06 
 2023-10-08 1.526524e-06 
 2023-10-09        0 
 2023-10-10 0.000116756 
 2023-10-11 0.006066731 
 2023-10-12 0.01322578 
 2023-10-13 0.01388318 
 2023-10-14 0.0001633156 
 2023-10-15        0 
 2023-10-16 9.826697e-05 
 2023-10-17 0.0002326547 
 2023-10-18 0.01549259 
 2023-10-19 0.005145474 
 2023-10-20 0.00190719 
 2023-10-21 0.001904719 
 2023-10-22 0.0006904976 
 2023-10-23 0.004315996 
 2023-10-24 0.01021513 
 2023-10-25 0.008706535 
 2023-10-26 0.0008345297 
 2023-10-27 0.002195853 
 2023-10-28 0.00458722 
 2023-10-29 0.004336986 
 2023-10-30 0.002305494 
 2023-10-31 0.01302764 
 2023-11-01 0.01754769 
 2023-11-02 0.01172843 
 2023-11-03 0.0007858563 
 2023-11-04 0.01132932 
 2023-11-05 0.0005712554 
 2023-11-06 0.0004822891 
 2023-11-07 0.0003760022 
 2023-11-08 0.004480538 
 2023-11-09 0.0006342287 
 2023-11-10 0.001266712 
 2023-11-11 0.003415342 
 2023-11-12 0.006963548 
 2023-11-13 0.003885066 
 2023-11-14 0.005668467 
 2023-11-15 0.0001071546 
 2023-11-16 0.02042151 
 2023-11-17 0.003141434 
 2023-11-18 0.004040663 
 2023-11-19 0.0006612296 
 2023-11-20 0.001506538 
 2023-11-21 4.553635e-05 
 2023-11-22 0.0001252671 
 2023-11-23 5.357962e-05 
 2023-11-24 9.347942e-06 
 2023-11-25 1.245938e-05 
 2023-11-26 0.0007927331 
 2023-11-27 0.003425578 
 2023-11-28 2.762895e-05 
 2023-11-29 0.0003764851 
 2023-11-30 0.005415493 
 2023-12-01 9.649478e-06 
 2023-12-02 0.004386252 
 2023-12-03 0.0140713 
 2023-12-04 0.01332873 
 2023-12-05 0.0003159385 
 2023-12-06 0.006335408 
 2023-12-07 0.008866327 
 2023-12-08 0.0003746915 
 2023-12-09 0.01219465 
 2023-12-10 0.001992989 
 2023-12-11 0.0007397899 
 2023-12-12 0.001691 
 2023-12-13 0.0002789556 
 2023-12-14 0.0002204252 
 2023-12-15 2.660527e-05 
 2023-12-16 0.000163031 
 2023-12-17 7.901312e-05 
 2023-12-18 0.0001001064 
 2023-12-19 0.00625735 
 2023-12-20 0.0001751247 
 2023-12-21 6.78901e-05 
 2023-12-22 6.837623e-05 
 2023-12-23 0.0001044958 
 2023-12-24 0.0004906798 
 2023-12-25 0.00150369 
 2023-12-26 0.002193301 
 2023-12-27 0.007161361 
 2023-12-28 0.001159889 
 2023-12-29 0.001185394 
 2023-12-30 0.01405397 
 2023-12-31 0.001755944 
 2024-01-01 0.01334408 
 2024-01-02 0.009375334 
 2024-01-03 0.001848573 
 2024-01-04 0.01942069 
 2024-01-05 6.953867e-05 
 2024-01-06 0.0001205742 
 2024-01-07 2.719723e-06 
 2024-01-08 5.107306e-05 
 2024-01-09 0.0002713017 
 2024-01-10 2.191188e-06 
 2024-01-11 3.522503e-05 
 2024-01-12 0.0001574349 
 2024-01-13 3.998866e-05 
 2024-01-14 5.961823e-05 
 2024-01-15 1.077019e-05 
 2024-01-16 4.86055e-09 
 2024-01-17 0.0001945436 
 2024-01-18        0 
 2024-01-19        0 
 2024-01-20 0.006734728 
 2024-01-21 0.008476866 
 2024-01-22 0.002714431 
 2024-01-23 0.00147717 
 2024-01-24 1.427113e-05 
 2024-01-25 0.0007781538 
 2024-01-26 0.0002756942 
 2024-01-27 3.873862e-06 
 2024-01-28 1.951749e-05 
 2024-01-29 0.0005236337 
 2024-01-30 2.383308e-05 
 2024-01-31 0.0001177529 
 2024-02-01 8.266783e-06 
 2024-02-02 0.0002362825 
 2024-02-03 3.333214e-05 
 2024-02-04 0.0001203161 
 2024-02-05 0.0002857164 
 2024-02-06 0.005363424 
 2024-02-07 0.002995315 
 2024-02-08 0.01695413 
 2024-02-09 0.005449739 
 2024-02-10 0.00362955 
 2024-02-11 0.002683282 
 2024-02-12 7.140959e-05 
 2024-02-13 0.005761175 
 2024-02-14 0.003158636 
 2024-02-15 0.0131463 
 2024-02-16 4.534678e-05 
 2024-02-17 0.005223137 
 2024-02-18 0.006759895 
 2024-02-19 0.0001163115 
 2024-02-20 0.0007524492 
 2024-02-21 0.01111361 
 2024-02-22 0.008698572 
 2024-02-23 0.00171282 
 2024-02-24 0.0006238882 
 2024-02-25 0.02289103 
 2024-02-26 0.000484067 
 2024-02-27 6.579475e-05 
 2024-02-28 0.0008453413 
 2024-02-29 0.003529326 
 2024-03-01 0.008880699 
 2024-03-02 0.0005571288 
 2024-03-03 0.0016244 
 2024-03-04 0.01285891 
 2024-03-05 0.001071823 
 2024-03-06 5.056577e-05 
 2024-03-07 0.0006762479 
 2024-03-08 8.149268e-05 
 2024-03-09 0.01294651 
 2024-03-10 0.002300082 
 2024-03-11 0.0002531969 
 2024-03-12 0.003859506 
 2024-03-13 0.0002786947 
 2024-03-14 0.002991274 
 2024-03-15 0.003247971 
 2024-03-16 0.001738322 
 2024-03-17 0.008215468 
 2024-03-18 0.0001695159 
 2024-03-19 0.00129651 
